station_id,forecast_scale,horizon_days,metric_code,water_temperature_C,total_phosphorus_mg_L,total_nitrogen_mg_L,solar_radiation_MJ_m2_day,wind_speed_m_s,mechanism_score,target
TH_CENTER,short_term,1,chlorophyll_a,24.25,0.061,1.0,16.2,2.76,0.6603405374859013,0.641289456863016
TH_CENTER,short_term,1,bloom_area,24.25,0.061,1.0,16.2,2.76,0.6603405374859013,0.641289456863016
TH_CENTER,short_term,1,blue_algae_density,24.25,0.061,1.0,16.2,2.76,0.6603405374859013,0.641289456863016
TH_CENTER,short_term,1,spatial_extent,24.25,0.061,1.0,16.2,2.76,0.6603405374859013,0.641289456863016
TH_CENTER,short_term,3,chlorophyll_a,24.75,0.063,1.0,16.6,2.6799999999999997,0.6708778910982034,0.6502462074334728
TH_CENTER,short_term,3,bloom_area,24.75,0.063,1.0,16.6,2.6799999999999997,0.6708778910982034,0.6502462074334728
TH_CENTER,short_term,3,blue_algae_density,24.75,0.063,1.0,16.6,2.6799999999999997,0.6708778910982034,0.6502462074334728
TH_CENTER,short_term,3,spatial_extent,24.75,0.063,1.0,16.6,2.6799999999999997,0.6708778910982034,0.6502462074334728
TH_CENTER,mid_term,7,chlorophyll_a,25.75,0.067,1.0,17.4,2.5199999999999996,0.6892698646228124,0.6658793849293905
TH_CENTER,mid_term,7,bloom_area,25.75,0.067,1.0,17.4,2.5199999999999996,0.6892698646228124,0.6658793849293905
TH_CENTER,mid_term,7,blue_algae_density,25.75,0.067,1.0,17.4,2.5199999999999996,0.6892698646228124,0.6658793849293905
TH_CENTER,mid_term,7,spatial_extent,25.75,0.067,1.0,17.4,2.5199999999999996,0.6892698646228124,0.6658793849293905
TH_CENTER,mid_term,15,chlorophyll_a,27.75,0.075,1.0,18.0,2.1999999999999997,0.7119650580148338,0.6851702993126086
TH_CENTER,mid_term,15,bloom_area,27.75,0.075,1.0,18.0,2.1999999999999997,0.7119650580148338,0.6851702993126086
TH_CENTER,mid_term,15,blue_algae_density,27.75,0.075,1.0,18.0,2.1999999999999997,0.7119650580148338,0.6851702993126086
TH_CENTER,mid_term,15,spatial_extent,27.75,0.075,1.0,18.0,2.1999999999999997,0.7119650580148338,0.6851702993126086
TH_CENTER,long_term,30,chlorophyll_a,27.75,0.09,1.0,18.0,1.5999999999999999,0.7332983913481672,0.7033036326459421
TH_CENTER,long_term,30,bloom_area,27.75,0.09,1.0,18.0,1.5999999999999999,0.7332983913481672,0.7033036326459421
TH_CENTER,long_term,30,blue_algae_density,27.75,0.09,1.0,18.0,1.5999999999999999,0.7332983913481672,0.7033036326459421
TH_CENTER,long_term,30,spatial_extent,27.75,0.09,1.0,18.0,1.5999999999999999,0.7332983913481672,0.7033036326459421
