record_id,source_file,variable_code,quality_flag,quality_status
ba193248bd3782f16e993d8cbc91e767ed9472c094ee6e0b929d14456613eb2a,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,phyto_number,"Q12,Q13",valid
2ddac585bcc28a31000cee14b6529ae039907e33d020648f630cc471e4c269c6,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,phyto_number,"Q12,Q13",valid
c7dd93296b33e679af01fd0dd54735f47b684493e6a3e834519811b41e3fdd9f,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,zoo_number,"Q12,Q13",valid
807b3afa915cc5b0c0e76c7e5661f6f91a74942a57ec6136cde0f8f3cb658c98,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,zoo_number,"Q12,Q13",valid
9df708d6eae9ee8140cf42f5def33dfe0e4bb828f954af2e0c6a3d37f5bb3209,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,phyto_number,"Q12,Q13",valid
e62217b32a7c09d310acc5a1d11fc811b9b2bf9545ff2fae504dac7bed85401f,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,phyto_number,"Q12,Q13",valid
036abb5c42cd7745af91e346779a1c89a5c0c4850bd4e4bfd68e2e0dc81fd4af,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,phyto_number,"Q12,Q13",valid
c910a66c15b2ef5292b9a90c9a489050d5cb8dcb1a67f1e47060bd784fdbb8d4,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,phyto_number,"Q12,Q13",valid
4d453897d5c7b1277191878b2bdee71a72c963497d57aa463780270c2119d337,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,phyto_number,"Q12,Q13",valid
3e76e0ee473beedf821ae40946fbfa4b705951e24aeb97b440d0b31b61737f2a,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,phyto_number,"Q12,Q13",valid
59efa129a375d87e010dd711b28518a3d8cffa0a6fda3ea9cc184573e3fafeac,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,zoo_number,"Q12,Q13",valid
1bb8631ced24e837a2fac2e71a06404fed03d6aff4dc3f8a8757eaa4d0f591f5,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,zoo_number,"Q12,Q13",valid
f90d6c85b5c6aee5f0649a1d6dd7ec90a033f305f0e4327cea109aafb5bc462a,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,phyto_number,"Q12,Q13",valid
3e0f2f11dd4dd48dd4983adbe43d36257bcb36a1384b2ab7faf3342446f7b9e0,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,zoo_number,"Q12,Q13",valid
b29b87f9983f63de155ae8091266d5002d59a0f7bc4a703c97c2dd82d2950c66,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,phyto_number,"Q12,Q13",valid
61b0bc576afefd32be4b7cba0f2ec00ebb21b8dbf9cbea0b46bc5949d70f7d12,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,codmn,Q12,valid
5e901efaf671bde23840f2b9d8f0b6de18c310f0dd7bcc40a018d19cf8e3485b,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,do,Q12,valid
0796d66d69f7998c0083930ae6dad049c4af2e6c01da611c7eae421484d863ef,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,nh4_n,Q12,valid
8931600d1faaa868f1d43e91e1e1138e3651a620d1525da66244d0d7a03c854d,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,no2_n,Q12,valid
463e587199312252ae493f43de0b470ce055bf070ffa04f3269b69eb9a421d42,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,no3_n,Q12,valid
cfd885f929763ff28c625d0d51799194e4074676ad45894415e8303724687257,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,ph,Q12,valid
6bc47eb6fea811b5b2db11f0a898a732108a48754f147c0207462dd039c1f369,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,phyto_biomass,Q12,valid
b8846257994ee41c2b5f0d37fab1b0bcf85619d7f724157e4481b6d620297deb,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,po4_p,Q12,valid
884d5ab0759fdebef0c5f1894f15a00d1d3f7b90c54a0dd87007c259606acf6e,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,tn,Q12,valid
a1e984f5ef56aaf2669ec5741430b4e82cb55f06d15d2185876fda19bfb08e05,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,tp,Q12,valid
fee7aef27ab87a169bf2e9c3b3992f7ff0d150489f6bfa6d8c703eafc85a6040,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,codmn,Q12,valid
5da3d5f694a99f11fe761db5c773b8ad686b1be9701216a81f764fa57255af1a,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,do,Q12,valid
9110d3855a2e729c967b6865c1f018ddf840c58a1e412464c0a2c192cf57b159,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,nh4_n,Q12,valid
8188ab2565585bdff6c6bb5067c318d4d7b53437522b5b5d35868c028c7d6d93,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,no2_n,Q12,valid
206e605a46417d0df9599c107c5e33330090684bddf4368faf26729158a6c17e,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,no3_n,Q12,valid
c5e1605ba715bd9aa8309e16eeff4e584e54d89fb6c13db1b42b593a6936d3db,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,ph,Q12,valid
72f2684e686516d0b3585e384316f7808be40a113fdfa1f1afb2f3e2b2269784,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,phyto_biomass,Q12,valid
0462ef4549fc6ae15896e86b525d6ba17a848f39fc2235f1fc5bf17ad471b2d4,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,po4_p,Q12,valid
4fd5f0789a73bb534b85f650a87d22b4bd70fdfb06165c2e0dede764311e1c59,01_当前主原始数据/taihu_thqbca_zenodo/extracted/THQBCA-V2/1.WaterQuality/1WaterQuality.xlsx,tn,Q12,valid
